detail_url,building_name,floor,num_flats,num_blocks,bedroom,bathroom,is_studio,estate_age,posted_days_age,has_view,has_open_view,has_sea_view,has_other_view,is_renovated,is_luxury_renovated,is_single_building,isin_school_network,has_clubhouse,is_appliances_included,is_mall_nearby,has_balcony,saleable_area,rent
https://www.28hse.com/rent/residential/property-1652561,瑧尚,mid,294.0,1.0,1.0,1.0,False,0.0,4.0,False,False,False,False,True,True,False,False,False,False,False,False,319.0,14500.0
https://www.28hse.com/rent/residential/property-1652909,偉恆昌新村,low,2730.0,30.0,2.0,1.0,False,43.0,4.0,False,False,False,False,True,True,False,False,False,False,False,False,374.0,12500.0
https://www.28hse.com/rent/residential/property-1654821,翔龍灣,mid,782.0,5.0,3.0,1.0,False,14.0,3.0,True,True,True,False,False,False,False,False,False,False,False,False,522.0,19200.0
https://www.28hse.com/rent/residential/property-1624364,安和園,mid,300.0,1.0,0.0,1.0,True,47.0,23.0,False,False,False,False,True,True,False,False,False,False,False,False,248.0,8600.0
https://www.28hse.com/rent/residential/property-1545588,單幢樓房,high,300.0,1.0,0.0,1.0,True,17.0,3.0,False,False,False,False,False,False,False,False,False,False,False,False,128.0,5200.0
https://www.28hse.com/rent/residential/property-1584503,福安大廈,low,176.0,2.0,2.0,1.0,False,45.0,3.0,False,False,False,False,True,False,False,False,False,False,False,False,319.0,10600.0
https://www.28hse.com/rent/residential/property-1653779,偉恆昌新村,high,2730.0,30.0,2.0,1.0,False,43.0,3.0,True,True,False,False,True,False,False,False,False,False,False,False,372.0,11500.0
https://www.28hse.com/rent/residential/property-1653602,安寧大廈,unknown,62.0,1.0,2.0,1.0,False,40.0,3.0,False,False,False,False,True,True,False,True,False,False,True,False,249.0,9800.0
https://www.28hse.com/rent/residential/property-1610482,VIVA,unknown,300.0,1.0,0.0,1.0,False,17.0,15.0,False,False,False,False,False,False,False,False,False,False,False,False,331.0,13800.0
https://www.28hse.com/rent/residential/property-1649489,新城中心,unknown,280.0,5.0,2.0,1.0,False,34.0,6.0,False,False,False,False,False,False,False,True,False,False,True,False,290.0,11000.0
https://www.28hse.com/rent/residential/property-1653554,福安閣,unknown,33.0,1.0,0.0,1.0,False,42.0,3.0,False,False,False,False,False,False,True,False,False,False,False,False,480.0,11800.0
https://www.28hse.com/rent/residential/property-1653485,unknown,mid,300.0,1.0,1.0,1.0,False,17.0,3.0,False,False,False,False,False,False,True,False,False,False,False,False,282.0,13500.0
https://www.28hse.com/rent/residential/property-1639356,喜點,unknown,168.0,1.0,0.0,1.0,False,5.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,255.0,12500.0
https://www.28hse.com/rent/residential/property-1653264,唐樓,mid,300.0,1.0,0.0,1.0,False,17.0,3.0,False,False,False,False,False,False,False,False,False,False,False,False,100.0,3000.0
https://www.28hse.com/rent/residential/property-1601047,唐樓,mid,300.0,1.0,0.0,1.0,True,17.0,5.0,False,False,False,False,True,True,False,False,False,False,False,False,120.0,5600.0
https://www.28hse.com/rent/residential/property-1652647,unknown,unknown,300.0,1.0,0.0,1.0,False,20.0,4.0,False,False,False,False,False,False,False,False,False,False,False,False,524.0,23000.0
https://www.28hse.com/rent/residential/property-1619607,unknown,mid,300.0,1.0,1.0,1.0,False,40.0,25.0,False,False,False,False,False,False,False,False,False,False,False,False,160.0,3600.0
https://www.28hse.com/rent/residential/property-1652632,嘉景花園,unknown,512.0,4.0,3.0,1.0,False,28.0,4.0,False,False,False,False,False,False,False,False,False,False,False,False,448.0,15900.0
https://www.28hse.com/rent/residential/property-1652562,喜點,unknown,168.0,1.0,0.0,1.0,False,5.0,4.0,False,False,False,False,True,True,False,False,False,True,False,False,250.0,13000.0
https://www.28hse.com/rent/residential/property-1634442,偉恆昌新村,high,2730.0,30.0,2.0,1.0,False,43.0,16.0,False,False,False,False,False,False,False,False,False,False,False,False,372.0,12800.0
https://www.28hse.com/rent/residential/property-1652468,嘉景花園,mid,512.0,4.0,3.0,1.0,False,28.0,4.0,False,False,False,False,False,False,False,True,False,False,False,False,448.0,15800.0
https://www.28hse.com/rent/residential/property-1611400,新城中心,unknown,300.0,1.0,0.0,1.0,False,17.0,15.0,False,False,False,False,False,False,False,False,False,False,False,False,290.0,11000.0
https://www.28hse.com/rent/residential/property-1652420,翔龍灣,unknown,782.0,5.0,1.0,1.0,False,13.0,4.0,True,False,True,False,False,False,False,False,False,False,False,False,427.0,16300.0
https://www.28hse.com/rent/residential/property-1652386,喜點,unknown,300.0,1.0,1.0,1.0,False,4.0,4.0,True,True,False,True,False,False,True,False,False,False,False,False,348.0,15300.0
https://www.28hse.com/rent/residential/property-1631072,Downtown 38,unknown,228.0,1.0,1.0,1.0,False,1.0,18.0,True,True,True,False,False,False,True,False,False,False,False,False,300.0,15800.0
https://www.28hse.com/rent/residential/property-1633600,喜點,unknown,168.0,1.0,0.0,1.0,True,4.0,16.0,True,True,False,True,False,False,True,False,False,False,False,False,250.0,12300.0
https://www.28hse.com/rent/residential/property-1652186,Downtown 38,mid,228.0,1.0,1.0,1.0,False,1.0,4.0,False,False,False,False,False,False,True,False,False,False,False,False,302.0,14500.0
https://www.28hse.com/rent/residential/property-1651964,美誠大廈,unknown,141.0,1.0,3.0,1.0,False,58.0,4.0,False,False,False,False,False,False,False,True,False,False,True,False,770.0,18500.0
https://www.28hse.com/rent/residential/property-1651936,翔龍灣,low,300.0,1.0,1.0,1.0,False,17.0,4.0,False,False,False,False,False,False,False,False,False,False,False,False,427.0,16900.0
https://www.28hse.com/rent/residential/property-1635240,翔龍灣,unknown,782.0,5.0,3.0,1.0,False,13.0,15.0,False,False,False,False,False,False,False,False,False,False,False,False,361.0,14100.0
https://www.28hse.com/rent/residential/property-1647752,Downtown 38,high,228.0,1.0,1.0,1.0,False,1.0,7.0,True,True,True,False,False,False,True,True,True,False,True,True,300.0,15800.0
https://www.28hse.com/rent/residential/property-1651415,碧麗花園,mid,432.0,2.0,3.0,2.0,False,25.0,5.0,True,False,True,False,False,False,False,True,False,False,False,False,476.0,16800.0
https://www.28hse.com/rent/residential/property-1651409,陽光廣場,mid,300.0,1.0,2.0,1.0,False,30.0,5.0,True,True,False,False,False,False,False,False,False,True,False,False,384.0,14500.0
https://www.28hse.com/rent/residential/property-1651372,福安閣,low,33.0,1.0,2.0,1.0,False,42.0,5.0,True,True,False,True,True,True,False,False,False,False,False,False,500.0,12000.0
https://www.28hse.com/rent/residential/property-1651355,迎豐,low,300.0,1.0,1.0,1.0,False,4.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,239.0,12500.0
https://www.28hse.com/rent/residential/property-1651197,嘉景花園,unknown,512.0,4.0,3.0,1.0,False,28.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,449.0,16300.0
https://www.28hse.com/rent/residential/property-1651171,傲雲峰,high,2208.0,6.0,2.0,1.0,False,17.0,5.0,True,True,True,False,True,True,False,False,False,False,False,False,539.0,18500.0
https://www.28hse.com/rent/residential/property-1651149,傲雲峰,high,2208.0,6.0,2.0,1.0,False,17.0,5.0,True,True,True,False,True,True,False,False,False,True,False,False,452.0,17800.0
https://www.28hse.com/rent/residential/property-1650839,瑧尚,low,294.0,1.0,1.0,1.0,False,0.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,303.0,15500.0
https://www.28hse.com/rent/residential/property-1650793,新城中心,unknown,280.0,5.0,2.0,1.0,False,34.0,5.0,False,False,False,False,True,True,False,False,False,True,False,False,290.0,11000.0
https://www.28hse.com/rent/residential/property-1650655,嘉景花園,unknown,512.0,4.0,3.0,1.0,False,27.0,5.0,False,False,False,False,True,True,False,False,False,False,False,False,448.0,15500.0
https://www.28hse.com/rent/residential/property-1649782,傲雲峰,low,2208.0,6.0,3.0,2.0,False,17.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,663.0,26500.0
https://www.28hse.com/rent/residential/property-1650086,傲雲峰,low,2208.0,6.0,3.0,2.0,False,17.0,5.0,False,False,False,False,True,False,False,False,False,True,False,False,663.0,26500.0
https://www.28hse.com/rent/residential/property-1645554,傲雲峰,unknown,2208.0,6.0,3.0,1.0,False,17.0,9.0,True,True,False,False,True,True,False,False,False,False,False,False,452.0,17000.0
https://www.28hse.com/rent/residential/property-1528174,嘉景花園,high,512.0,4.0,2.0,1.0,False,27.0,5.0,False,False,False,False,True,False,False,False,False,True,False,False,449.0,18800.0
https://www.28hse.com/rent/residential/property-1650012,翰畋,high,92.0,1.0,1.0,1.0,False,2.0,6.0,True,False,True,False,False,False,True,False,False,False,False,True,268.0,13800.0
https://www.28hse.com/rent/residential/property-1636880,迎豐,unknown,300.0,1.0,0.0,1.0,True,2.0,15.0,True,True,False,False,False,False,True,False,True,False,False,True,191.0,10000.0
https://www.28hse.com/rent/residential/property-1649931,迎豐,high,300.0,1.0,0.0,1.0,True,4.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,185.0,10000.0
https://www.28hse.com/rent/residential/property-1649837,唐樓,mid,300.0,1.0,0.0,1.0,True,60.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,120.0,4300.0
